ticker,disclosure_date,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment
DUK,2023-04-04,0.94564867,0.032923087,0.021428213,0.92422044
DUK,2023-04-06,0.9414889,0.025738155,0.032772973,0.9087159
DUK,2023-04-28,0.923062,0.04006546,0.036872484,0.8861896
DUK,2023-05-08,0.9436909,0.03625562,0.02005344,0.92363745
DUK,2023-05-09,0.9368954,0.03550264,0.027601993,0.90929335
DUK,2023-06-12,0.82414764,0.124909215,0.05094315,0.7732045
DUK,2023-06-15,0.943508,0.02753496,0.02895703,0.914551
DUK,2023-08-07,0.9439949,0.035429675,0.020575412,0.9234195
DUK,2023-08-21,0.92880476,0.04089746,0.030297793,0.898507
DUK,2023-08-22,0.92571056,0.047615513,0.026673911,0.89903665
DUK,2023-08-28,0.89533067,0.056423843,0.048245475,0.8470852
DUK,2023-09-08,0.94325864,0.026545756,0.030195544,0.91306317
DUK,2023-11-01,0.9431654,0.03661638,0.020218208,0.92294717
DUK,2023-12-18,0.9328925,0.039589398,0.02751806,0.90537447
DUK,2023-12-19,0.936528,0.040277503,0.023194429,0.91333365
DUK,2024-01-05,0.9436544,0.028883545,0.027462047,0.91619235
DUK,2024-01-12,0.945863,0.027935885,0.026201092,0.9196619
DUK,2024-01-31,0.92272675,0.041570544,0.035702676,0.8870241
DUK,2024-02-07,0.94354653,0.036181618,0.020271879,0.92327464
DUK,2024-03-15,0.9396659,0.030473843,0.029860208,0.9098057
DUK,2024-04-12,0.9442712,0.025968153,0.029760614,0.9145106
DUK,2024-05-06,0.9436909,0.03625562,0.02005344,0.92363745
DUK,2024-05-13,0.9147258,0.062710024,0.022564225,0.89216155
DUK,2024-06-07,0.9447264,0.028411187,0.026862381,0.917864
DUK,2024-07-08,0.9368838,0.0358278,0.027288362,0.9095955
DUK,2024-07-15,0.9434049,0.029120125,0.027474986,0.9159299
DUK,2024-08-05,0.9439949,0.035429675,0.020575412,0.9234195
DUK,2024-08-22,0.94118404,0.03050733,0.028308598,0.9128755
DUK,2024-11-06,0.9431654,0.03661638,0.020218208,0.92294717
HD,2022-11-15,0.9311031,0.048287507,0.020609368,0.91049373
HD,2023-02-21,0.92746115,0.05238795,0.020150905,0.90731025
HD,2023-02-28,0.93915826,0.025522768,0.035318945,0.90383935
HD,2023-04-19,0.74223906,0.23046122,0.027299719,0.71493936
