ticker,disclosure_date,positive_sentiment,neutral_sentiment,negative_sentiment,compound_sentiment,Date,year,month,day,Symbol,Open,High,Low,Close,Volume,gain_loss,high_vs_prev_day,low_vs_prev_day,volume_vs_prev_day,pct_close_change,pct_volume_change
JNJ,2023-03-31,0.86624146,0.11436418,0.019394338,0.8468471,2023-03-31,2023,3,31,JNJ,153.79,155.19,153.24,155.0,9888000.0,1,0,0,1,-1.1795,44.5424
JNJ,2023-04-04,0.90420985,0.042070642,0.05371947,0.8504904,2023-04-04,2023,4,4,JNJ,156.97,158.97,156.59,158.49,7683235.0,1,0,0,0,-4.2993,-53.9774
JNJ,2023-04-18,0.8800028,0.06902944,0.05096778,0.829035,2023-04-18,2023,4,18,JNJ,164.25,164.69,159.65,161.01,14564800.0,0,1,0,1,-0.9352,115.8708
JNJ,2023-04-28,0.92798007,0.049604222,0.022415718,0.9055643,2023-04-28,2023,4,28,JNJ,162.81,163.76,162.56,163.7,6023400.0,1,0,1,1,0.0611,23.0923
JNJ,2023-05-08,0.9390187,0.032098696,0.028882626,0.9101361,2023-05-08,2023,5,8,JNJ,161.99,162.57,161.34,162.31,4994900.0,1,1,1,0,0.7824,-9.5209
JNJ,2023-07-20,0.9104196,0.061441995,0.028138354,0.8822812,2023-07-20,2023,7,20,JNJ,161.94,169.14,161.3,168.38,21892900.0,1,0,0,1,-1.0635,81.2851
JNJ,2023-07-24,0.94578445,0.033135567,0.021079984,0.9247045,2023-07-24,2023,7,24,JNJ,171.5,173.82,170.99,171.08,15155400.0,0,1,1,1,-0.7599,9.9006
JNJ,2023-07-28,0.9098196,0.06814015,0.022040267,0.88777936,2023-07-28,2023,7,28,JNJ,174.0,175.36,173.23,174.48,14138800.0,1,1,1,0,4.1485,-37.5293
JNJ,2023-08-25,0.9497492,0.025668453,0.024582349,0.92516685,2023-08-25,2023,8,25,JNJ,164.3,167.78,164.06,166.25,18185500.0,1,1,1,0,1.193,-1.4763
JNJ,2023-08-30,0.9344939,0.02526271,0.04024339,0.8942505,2023-08-30,2023,8,30,JNJ,165.11,165.83,163.68,163.73,9939100.0,0,1,1,0,1.2679,-35.1784
JNJ,2023-10-17,0.90235627,0.07082585,0.026817827,0.87553847,2023-10-17,2023,10,17,JNJ,155.98,158.95,154.61,156.09,12244400.0,1,1,1,1,2.2,34.5938
JNJ,2023-10-23,0.76352113,0.21593107,0.020547807,0.7429733,2023-10-23,2023,10,23,JNJ,152.86,153.5,151.21,151.39,5874000.0,0,1,1,0,0.1058,-4.57
JNJ,2023-11-27,0.9375861,0.03723117,0.025182676,0.91240346,2023-11-27,2023,11,27,JNJ,152.29,152.32,150.97,151.28,6449700.0,0,1,1,1,-0.2308,9.1504
JNJ,2023-11-30,0.87896514,0.08649753,0.034537397,0.8444277,2023-11-30,2023,11,30,JNJ,152.26,155.14,151.92,154.66,12481900.0,1,0,0,1,-2.3488,20.6855
JNJ,2023-12-05,0.9437075,0.026941877,0.029350596,0.91435695,2023-12-05,2023,12,5,JNJ,158.8,159.63,158.22,158.55,7268200.0,0,1,1,1,1.2323,9.4131
JNJ,2024-01-23,0.8800883,0.09408861,0.025823044,0.85426533,2024-01-23,2024,1,23,JNJ,159.66,160.51,156.91,159.81,9149800.0,1,0,0,1,0.5347,26.2407
JNJ,2024-04-16,0.84431994,0.10970254,0.0459775,0.79834247,2024-04-16,2024,4,16,JNJ,145.01,146.25,143.39,144.45,12774859.0,0,1,0,1,-0.221,36.2207
JNJ,2024-04-29,0.92604566,0.052424863,0.021529451,0.9045162,2024-04-29,2024,4,29,JNJ,146.14,147.22,145.985,146.82,6461588.0,1,1,1,0,1.5423,-26.7204
JNJ,2024-05-01,0.79436654,0.17205048,0.033582985,0.7607836,2024-05-01,2024,5,1,JNJ,148.74,151.85,147.62,151.18,14470900.0,1,0,0,1,0.8404,71.1358
JNJ,2024-05-17,0.9500156,0.023902882,0.026081512,0.9239341,2024-05-17,2024,5,17,JNJ,154.86,154.86,153.4,153.4,6521794.0,0,1,1,0,1.4081,-15.7639
JNJ,2024-05-20,0.93692905,0.023999283,0.039071705,0.8978573,2024-05-20,2024,5,20,JNJ,153.1,153.39,151.26,151.27,7742280.0,0,1,1,1,0.0198,40.9647
JNJ,2024-07-17,0.904176,0.06759342,0.028230557,0.87594545,2024-07-17,2024,7,17,JNJ,151.55,157.49,151.42,156.58,13791500.0,1,1,0,1,0.7464,35.6751
JNJ,2024-08-26,0.89716786,0.08137286,0.02145924,0.8757086,2024-08-26,2024,8,26,JNJ,164.17,165.71,163.54,164.61,6869200.0,1,1,1,1,1.0187,56.5344
JNJ,2024-09-10,0.79600835,0.18419623,0.019795354,0.776213,2024-09-10,2024,9,10,JNJ,167.5,168.46,166.745,167.38,6559734.0,0,1,1,1,1.5532,10.8032
JNJ,2024-09-20,0.86983335,0.032220222,0.09794637,0.771887,2024-09-20,2024,9,20,JNJ,164.3,164.87,163.55,164.16,11838967.0,0,1,1,1,0.5759,153.4218
JNJ,2024-10-15,0.8807202,0.09113958,0.028140232,0.85257995,2024-10-15,2024,10,15,JNJ,160.0,166.75,159.0,164.1,10547966.0,1,1,0,1,-0.1096,76.3198
JPM,2023-03-01,0.94620585,0.028896056,0.024898104,0.9213078,2023-03-01,2023,3,1,JPM,142.1,143.46,141.8,142.55,7134400.0,1,1,1,0,1.0491,-35.7655
JPM,2023-04-14,0.8937885,0.08549959,0.020711858,0.8730767,2023-04-14,2023,4,14,JPM,135.15,139.12,134.9,138.73,43896500.0,1,0,0,1,-0.7867,173.6348
JPM,2023-04-20,0.9300969,0.04410178,0.025801282,0.9042956,2023-04-20,2023,4,20,JPM,139.91,141.43,139.84,140.81,10583700.0,1,1,1,0,0.1921,-10.6242
JPM,2023-05-01,0.9116655,0.06576657,0.02256795,0.8890975,2023-05-01,2023,5,1,JPM,142.26,143.37,140.83,141.2,20415760.0,0,1,1,1,1.6412,44.6546
JPM,2023-05-18,0.9413048,0.03300903,0.025686145,0.91561866,2023-05-18,2023,5,18,JPM,138.27,139.73,137.76,139.5,10999610.0,1,0,0,0,0.2299,-18.4745
JPM,2023-05-22,0.89769685,0.079689614,0.022613559,0.87508327,2023-05-22,2023,5,22,JPM,141.0,141.64,137.66,138.03,11402480.0,0,1,1,1,1.0542,19.8382
JPM,2023-06-01,0.9450636,0.03123913,0.02369731,0.9213662,2023-06-01,2023,6,1,JPM,136.52,138.23,135.445,137.58,12248090.0,1,0,0,0,-2.0574,-5.2187
JPM,2023-06-26,0.93488073,0.04478915,0.020330075,0.91455066,2023-06-26,2023,6,26,JPM,138.87,140.01,137.69,139.19,8429727.0,1,1,0,1,-0.0072,3.3812
JPM,2023-06-30,0.9227235,0.0542025,0.02307404,0.89964944,2023-06-30,2023,6,30,JPM,144.6,146.0,143.66,145.44,14212820.0,1,0,0,1,-0.798,77.1814
JPM,2023-07-14,0.89406234,0.08547601,0.020461628,0.8736007,2023-07-14,2023,7,14,JPM,151.55,152.89,148.41,149.77,27028430.0,0,0,0,1,-2.3536,56.5741
JPM,2023-07-24,0.94702923,0.029513361,0.023457402,0.9235718,2023-07-24,2023,7,24,JPM,154.97,158.785,154.73,158.0,14381430.0,1,1,0,1,0.7525,44.6143
JPM,2023-09-22,0.94197047,0.03819716,0.01983235,0.9221381,2023-09-22,2023,9,22,JPM,147.29,147.51,145.19,145.73,7071975.0,0,1,1,1,-0.4916,0.3876
JPM,2023-10-13,0.89396507,0.08546057,0.02057436,0.8733907,2023-10-13,2023,10,13,JPM,148.5,153.11,147.84,148.0,29487199.0,0,1,1,1,0.1015,132.8526
JPM,2023-10-23,0.93985665,0.037408214,0.022735212,0.9171214,2023-10-23,2023,10,23,JPM,142.94,143.68,140.73,141.0,10133410.0,0,1,1,1,-0.1204,14.0976
JPM,2023-10-26,0.9210708,0.020506538,0.058422707,0.86264807,2023-10-26,2023,10,26,JPM,139.76,141.665,139.43,140.76,9109431.0,1,1,1,0,3.7365,-47.7512
JPM,2024-01-12,0.8977591,0.081955984,0.020284932,0.8774741,2024-01-12,2024,1,12,JPM,173.8,176.31,168.9,169.05,19436500.0,0,1,1,1,0.631,12.9607
